"","ARR_DEL15","DAY_OF_WEEK","CARRIER","DEST","ORIGIN","DEP_TIME_BLK"
"1","0.00","2","AA","LAX","JFK","0900-0959"
"3","0.00","2","AA","LAX","JFK","1200-1259"
"10","0.00","2","AA","SFO","JFK","0700-0759"
"12","1.00","2","AA","JFK","SFO","1100-1159"
"13","0.00","2","AA","SFO","JFK","0800-0859"
"14","1.00","2","AA","JFK","SFO","1200-1259"
"15","0.00","2","AA","SFO","JFK","1700-1759"
"16","0.00","2","AA","JFK","SFO","2300-2359"
"17","0.00","2","AA","LAX","JFK","1100-1159"
"18","0.00","2","AA","JFK","SFO","1500-1559"
"19","0.00","2","AA","LAX","JFK","1800-1859"
"20","0.00","2","AA","JFK","LAX","1500-1559"
"21","0.00","2","AA","LAX","JFK","2200-2259"
"22","0.00","2","AA","JFK","SFO","0700-0759"
"26","1.00","2","AA","JFK","LAX","2200-2259"
"28","1.00","2","AA","JFK","LAX","2300-2359"
"31","0.00","2","AA","LAX","JFK","0800-0859"
"32","0.00","2","AA","JFK","LAX","0800-0859"
"33","0.00","2","AA","DFW","SFO","0800-0859"
"34","1.00","2","AA","SFO","DFW","1800-1859"
"40","1.00","2","AA","JFK","ORD","1200-1259"
"62","0.00","2","AA","DFW","PHX","1100-1159"
"78","0.00","2","AA","DFW","LAS","0900-0959"
"79","0.00","2","AA","LAS","DFW","1700-1759"
"85","0.00","2","AA","LAX","SFO","1000-1059"
"90","0.00","2","AA","SFO","DFW","0700-0759"
"91","0.00","2","AA","ORD","SFO","0900-0959"
"95","0.00","2","AA","SFO","JFK","2100-2159"
"97","0.00","2","AA","ORD","PHX","0800-0859"
"102","0.00","2","AA","LAX","SFO","0700-0759"
"103","0.00","2","AA","LAS","LAX","1200-1259"
"104","0.00","2","AA","LAX","JFK","0600-0659"
"109","0.00","2","AA","SFO","JFK","1500-1559"
"113","0.00","2","AA","DFW","ORD","2200-2259"
"114","0.00","2","AA","ORD","LAS","0800-0859"
"115","0.00","2","AA","LAS","ORD","1700-1759"
"125","0.00","2","AA","ORD","LAX","0900-0959"
"126","0.00","2","AA","LAX","ORD","1700-1759"
"133","0.00","2","AA","JFK","LAX","0700-0759"
"137","1.00","2","AA","LAX","JFK","2100-2159"
"138","0.00","2","AA","ORD","LAX","0700-0759"
"141","0.00","2","AA","SFO","ORD","1200-1259"
"142","0.00","2","AA","DFW","SFO","1500-1559"
"157","0.00","2","AA","SFO","LAX","1600-1659"
"158","0.00","2","AA","LAX","SFO","2000-2059"
"160","0.00","2","AA","SFO","JFK","1800-1859"
"163","0.00","2","AA","JFK","LAX","1600-1659"
"165","0.00","2","AA","LAX","LAS","0700-0759"
"167","0.00","2","AA","DFW","LAS","0001-0559"
"202","0.00","2","AA","DFW","CLT","1100-1159"
"203","0.00","2","AA","SFO","DFW","1400-1459"
"204","0.00","2","AA","CLT","JFK","0800-0859"
"207","1.00","2","AA","ORD","JFK","0700-0759"
"238","1.00","2","AA","LAX","JFK","1000-1059"
"242","0.00","2","AA","SFO","DFW","1100-1159"
"274","0.00","2","AA","ORD","DFW","1100-1159"
"277","0.00","2","AA","LAS","LAX","1400-1459"
"283","0.00","2","AA","DFW","ATL","1600-1659"
"284","1.00","2","AA","ATL","DFW","1200-1259"
"290","0.00","2","AA","SFO","DFW","1200-1259"
"291","0.00","2","AA","ORD","SFO","1400-1459"
"296","0.00","2","AA","SFO","LAX","1700-1759"
"299","1.00","2","AA","SFO","LAX","1900-1959"
"306","1.00","2","AA","JFK","DFW","1700-1759"
"317","0.00","2","AA","DFW","SFO","0001-0559"
"341","0.00","2","AA","JFK","SFO","2100-2159"
"352","0.00","2","AA","JFK","LAX","0600-0659"
"393","0.00","2","AA","LAX","DFW","2200-2259"
"398","0.00","2","AA","ORD","LAS","1200-1259"
"400","0.00","2","AA","LAX","SFO","1800-1859"
"402","0.00","2","AA","SFO","ORD","0700-0759"
"403","0.00","2","AA","ORD","SFO","1100-1159"
"417","0.00","2","AA","DFW","CLT","1800-1859"
"420","0.00","2","AA","DFW","SFO","1000-1059"
"421","0.00","2","AA","PHX","DFW","0900-0959"
"427","1.00","2","AA","PHX","ORD","0001-0559"
"428","1.00","2","AA","LAS","PHX","0800-0859"
"431","0.00","2","AA","SFO","LAX","1800-1859"
"441","0.00","2","AA","LAX","ORD","0800-0859"
"446","0.00","2","AA","ATL","DFW","1300-1359"
"464","0.00","2","AA","SFO","DFW","2000-2059"
"483","0.00","2","AA","ORD","LAX","0001-0559"
"502","0.00","2","AA","ORD","LAX","1100-1159"
"547","0.00","2","AA","ORD","DFW","1600-1659"
"550","0.00","2","AA","LAX","ATL","1800-1859"
"551","1.00","2","AA","ATL","LAX","1000-1059"
"572","1.00","2","AA","DFW","ORD","1300-1359"
"584","1.00","2","AA","JFK","ORD","1800-1859"
"585","0.00","2","AA","ORD","LAX","1300-1359"
"605","0.00","2","AA","SFO","DFW","2100-2159"
"607","0.00","2","AA","DFW","LAS","1700-1759"
"634","0.00","2","AA","ORD","DFW","1700-1759"
"653","0.00","2","AA","DFW","ORD","0900-0959"
"658","1.00","2","AA","JFK","DFW","1100-1159"
"672","0.00","2","AA","LAX","ORD","1500-1559"
"693","1.00","2","AA","JFK","PHX","1300-1359"
"713","0.00","2","AA","ORD","PHX","1400-1459"
"716","0.00","2","AA","ORD","PHX","1300-1359"
"721","0.00","2","AA","DFW","SFO","0001-0559"
"753","0.00","2","AA","DFW","PHX","0600-0659"
"757","0.00","2","AA","SFO","DFW","1700-1759"
"761","0.00","2","AA","LAS","DFW","1000-1059"
"762","0.00","2","AA","DFW","LAS","1200-1259"
"778","0.00","2","AA","ORD","SFO","2300-2359"
"786","0.00","2","AA","ORD","ATL","1100-1159"
"787","0.00","2","AA","ATL","ORD","0800-0859"
"796","0.00","2","AA","LAS","LAX","2200-2259"
"811","0.00","2","AA","LAX","ORD","0900-0959"
"815","1.00","2","AA","ORD","ATL","0700-0759"
"817","0.00","2","AA","DFW","CLT","1300-1359"
"822","0.00","2","AA","CLT","DFW","1300-1359"
"828","0.00","2","AA","PHX","ORD","2000-2059"
"863","0.00","2","AA","DFW","ATL","0600-0659"
"865","1.00","2","AA","JFK","CLT","2000-2059"
"866","0.00","2","AA","CLT","DFW","1500-1559"
"867","0.00","2","AA","DFW","ATL","1100-1159"
"888","0.00","2","AA","DFW","ORD","0001-0559"
"921","0.00","2","AA","LAX","ORD","1800-1859"
"927","0.00","2","AA","CLT","DFW","1800-1859"
"948","0.00","2","AA","LAX","DFW","0800-0859"
"963","0.00","2","AA","PHX","ORD","1300-1359"
"965","0.00","2","AA","DFW","PHX","1700-1759"
"975","0.00","2","AA","ORD","LAX","0001-0559"
"976","0.00","2","AA","LAX","ORD","2200-2259"
"977","0.00","2","AA","LAX","DFW","1700-1759"
"980","0.00","2","AA","DFW","ORD","1800-1859"
"982","0.00","2","AA","DFW","SFO","1700-1759"
"983","0.00","2","AA","DFW","ORD","2000-2059"
"984","0.00","2","AA","PHX","LAS","1000-1059"
"987","1.00","2","AA","SFO","ORD","1000-1059"
"1005","0.00","2","AA","SFO","DFW","0900-0959"
"1006","0.00","2","AA","DFW","SFO","1200-1259"
"1007","0.00","2","AA","ATL","ORD","1800-1859"
"1008","0.00","2","AA","ORD","DFW","0700-0759"
"1015","0.00","2","AA","DFW","ORD","1900-1959"
"1017","0.00","2","AA","ORD","DFW","1800-1859"
"1020","0.00","2","AA","ORD","DFW","0700-0759"
"1023","0.00","2","AA","ORD","DFW","1000-1059"
"1027","0.00","2","AA","DFW","ORD","1600-1659"
"1034","0.00","2","AA","DFW","ORD","1400-1459"
"1039","0.00","2","AA","LAX","DFW","2200-2259"
"1043","1.00","2","AA","LAS","DFW","1500-1559"
"1044","0.00","2","AA","DFW","LAX","1900-1959"
"1045","0.00","2","AA","LAX","DFW","1500-1559"
"1048","0.00","2","AA","DFW","LAX","1200-1259"
"1057","0.00","2","AA","SFO","LAX","1200-1259"
"1100","0.00","2","AA","ORD","LAX","0600-0659"
"1106","0.00","2","AA","DFW","LAX","0001-0559"
"1108","0.00","2","AA","LAX","DFW","0700-0759"
"1109","0.00","2","AA","DFW","LAX","1200-1259"
"1111","0.00","2","AA","DFW","LAX","0001-0559"
"1114","0.00","2","AA","ATL","DFW","1800-1859"
"1115","0.00","2","AA","DFW","LAX","1100-1159"
"1120","0.00","2","AA","DFW","SFO","1100-1159"
"1127","0.00","2","AA","LAX","DFW","1800-1859"
"1128","0.00","2","AA","DFW","LAX","0700-0759"
"1133","0.00","2","AA","LAX","DFW","1500-1559"
"1150","0.00","2","AA","ATL","LAX","1600-1659"
"1156","0.00","2","AA","DFW","ORD","0700-0759"
"1159","1.00","2","AA","ORD","DFW","1300-1359"
"1160","1.00","2","AA","DFW","ORD","1000-1059"
"1168","0.00","2","AA","DFW","LAX","0600-0659"
"1174","1.00","2","AA","LAX","DFW","1000-1059"
"1183","0.00","2","AA","DFW","SFO","0600-0659"
"1186","0.00","2","AA","LAX","ATL","1200-1259"
"1188","0.00","2","AA","LAX","SFO","1400-1459"
"1190","0.00","2","AA","DFW","LAX","1000-1059"
"1196","0.00","2","AA","DFW","LAX","0800-0859"
"1197","0.00","2","AA","DFW","CLT","0600-0659"
"1200","0.00","2","AA","LAX","ATL","0700-0759"
"1208","1.00","2","AA","CLT","ORD","1500-1559"
"1223","0.00","2","AA","PHX","ATL","0700-0759"
"1254","0.00","2","AA","CLT","ORD","1300-1359"
"1282","0.00","2","AA","DFW","CLT","1400-1459"
"1284","1.00","2","AA","ORD","CLT","1300-1359"
"1285","0.00","2","AA","DFW","CLT","1900-1959"
"1290","0.00","2","AA","CLT","SFO","2200-2259"
"1292","0.00","2","AA","LAS","LAX","1600-1659"
"1295","0.00","2","AA","CLT","DFW","1200-1259"
"1301","0.00","2","AA","DFW","CLT","0700-0759"
"1307","1.00","2","AA","CLT","ATL","1300-1359"
"1308","1.00","2","AA","DFW","CLT","1600-1659"
"1313","0.00","2","AA","LAS","DFW","2000-2059"
"1341","0.00","2","AA","LAX","CLT","1100-1159"
"1342","0.00","2","AA","DFW","PHX","0001-0559"
"1360","0.00","2","AA","CLT","DFW","2000-2059"
"1387","0.00","2","AA","DFW","CLT","0900-0959"
"1395","0.00","2","AA","LAS","DFW","1200-1259"
"1396","0.00","2","AA","DFW","LAS","1400-1459"
"1407","0.00","2","AA","ORD","CLT","1600-1659"
"1422","0.00","2","AA","SFO","CLT","1800-1859"
"1458","0.00","2","AA","LAS","PHX","1400-1459"
"1463","0.00","2","AA","JFK","CLT","0900-0959"
"1474","0.00","2","AA","LAS","PHX","1100-1159"
"1476","0.00","2","AA","CLT","DFW","0700-0759"
"1500","0.00","2","AA","ORD","CLT","2000-2059"
"1501","0.00","2","AA","CLT","PHX","1300-1359"
"1505","0.00","2","AA","PHX","LAS","1200-1259"
"1506","0.00","2","AA","CLT","PHX","1500-1559"
"1521","0.00","2","AA","CLT","LAS","1100-1159"
"1529","0.00","2","AA","CLT","SFO","0800-0859"
"1535","0.00","2","AA","CLT","ORD","1800-1859"
"1556","0.00","2","AA","CLT","ORD","1200-1259"
"1569","0.00","2","AA","CLT","ATL","0700-0759"
"1575","1.00","2","AA","ORD","CLT","1700-1759"
"1580","1.00","2","AA","CLT","ORD","0001-0559"
"1623","0.00","2","AA","ORD","CLT","0900-0959"
"1654","0.00","2","AA","CLT","LAX","0600-0659"
"1668","0.00","2","AA","CLT","LAX","0001-0559"
"1674","0.00","2","AA","PHX","SFO","0600-0659"
"1676","0.00","2","AA","ORD","CLT","0700-0759"
"1690","0.00","2","AA","CLT","SFO","0700-0759"
"1714","1.00","2","AA","JFK","CLT","1400-1459"
"1717","0.00","2","AA","CLT","PHX","0001-0559"
"1727","0.00","2","AA","SFO","CLT","1600-1659"
"1738","0.00","2","AA","CLT","DFW","1100-1159"
"1739","0.00","2","AA","DFW","LAS","0600-0659"
"1740","1.00","2","AA","ATL","CLT","1700-1759"
"1741","0.00","2","AA","JFK","CLT","0700-0759"
"1766","1.00","2","AA","CLT","JFK","0600-0659"
"1785","0.00","2","AA","CLT","PHX","0700-0759"
"1787","0.00","2","AA","CLT","JFK","1100-1159"
"1788","0.00","2","AA","CLT","ATL","1500-1559"
"1799","0.00","2","AA","DFW","CLT","0700-0759"
"1800","0.00","2","AA","CLT","DFW","0900-0959"
"1913","0.00","2","AA","SFO","PHX","0800-0859"
"1920","0.00","2","AA","SFO","PHX","1400-1459"
"1929","0.00","2","AA","PHX","ORD","1000-1059"
"1934","1.00","2","AA","CLT","JFK","1700-1759"
"1938","0.00","2","AA","PHX","ORD","0700-0759"
"1941","0.00","2","AA","CLT","LAS","2300-2359"
"1943","1.00","2","AA","SFO","PHX","1100-1159"
"1949","0.00","2","AA","SFO","PHX","2100-2159"
"1951","0.00","2","AA","ORD","PHX","1600-1659"
"1986","1.00","2","AA","CLT","ORD","0700-0759"
"2004","0.00","2","AA","PHX","SFO","1500-1559"
"2011","0.00","2","AA","ORD","PHX","1900-1959"
"2015","0.00","2","AA","CLT","SFO","0600-0659"
"2016","0.00","2","AA","PHX","LAS","0600-0659"
"2019","0.00","2","AA","LAX","PHX","0800-0859"
"2023","0.00","2","AA","PHX","CLT","1600-1659"
"2027","0.00","2","AA","LAX","PHX","1100-1159"
"2050","0.00","2","AA","PHX","LAX","0600-0659"
"2057","1.00","2","AA","PHX","DFW","1100-1159"
"2072","0.00","2","AA","ATL","PHX","0001-0559"
"2076","1.00","2","AA","PHX","DFW","1700-1759"
"2079","1.00","2","AA","DFW","PHX","1300-1359"
"2081","0.00","2","AA","PHX","LAX","1600-1659"
"2082","0.00","2","AA","DFW","PHX","1900-1959"
"2083","0.00","2","AA","PHX","DFW","2000-2059"
"2084","0.00","2","AA","PHX","SFO","1700-1759"
"2089","0.00","2","AA","DFW","PHX","1400-1459"
"2102","0.00","2","AA","LAS","PHX","1100-1159"
"2116","1.00","2","AA","DFW","LAS","0700-0759"
"2120","0.00","2","AA","LAX","LAS","1800-1859"
"2140","1.00","2","AA","JFK","PHX","0900-0959"
"2144","0.00","2","AA","CLT","LAX","0700-0759"
"2154","0.00","2","AA","LAS","PHX","2100-2159"
"2155","1.00","2","AA","JFK","CLT","1300-1359"
"2157","1.00","2","AA","PHX","JFK","1600-1659"
"2160","0.00","2","AA","ATL","PHX","1300-1359"
"2168","0.00","2","AA","CLT","PHX","0900-0959"
"2169","0.00","2","AA","PHX","CLT","0700-0759"
"2171","0.00","2","AA","JFK","PHX","1600-1659"
"2178","0.00","2","AA","PHX","CLT","1300-1359"
"2180","0.00","2","AA","ORD","CLT","1400-1459"
"2182","0.00","2","AA","PHX","ORD","1700-1759"
"2186","0.00","2","AA","JFK","PHX","2200-2259"
"2188","1.00","2","AA","PHX","JFK","0600-0659"
"2190","0.00","2","AA","LAS","PHX","1800-1859"
"2204","0.00","2","AA","DFW","PHX","1000-1059"
"2211","0.00","2","AA","PHX","JFK","1300-1359"
"2221","0.00","2","AA","SFO","CLT","0700-0759"
"2222","0.00","2","AA","CLT","SFO","1100-1159"
"2228","0.00","2","AA","PHX","LAS","1600-1659"
"2238","0.00","2","AA","PHX","CLT","1100-1159"
"2244","0.00","2","AA","CLT","PHX","0600-0659"
"2247","0.00","2","AA","SFO","PHX","1800-1859"
"2252","0.00","2","AA","CLT","ATL","1000-1059"
"2257","0.00","2","AA","PHX","CLT","1400-1459"
"2259","0.00","2","AA","LAX","PHX","1800-1859"
"2266","1.00","2","AA","LAX","CLT","1600-1659"
"2280","0.00","2","AA","CLT","PHX","1100-1159"
"2281","0.00","2","AA","LAX","CLT","1800-1859"
"2292","0.00","2","AA","PHX","LAS","1900-1959"
"2301","0.00","2","AA","DFW","LAX","1400-1459"
"2303","0.00","2","AA","SFO","ORD","1500-1559"
"2308","0.00","2","AA","LAX","DFW","1300-1359"
